id,Name,Artists,,started,Address,Notes,Commisioned,District,transform,images,location
m0045,,HUSH,HUSH,9/22/2014,"154 E Grand Ave, Detroit, MI",located in the Belt,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0045,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0045.jpg,"-83.046451, 42.334557"
m0047,,WC BEVAN,WC BEVAN,1/22/2013,"Dequindre Cut Greenway, Detroit, MI 48207",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0047,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0047.jpg,"-83.033528, 42.343990"
m0048,,FREDDY DIAZ,FREDDY DIAZ,9/22/2017,"3437 Livernois, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0048,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0048.jpg,
m0049,,unknown,unknown,9/22/2017,"6301 Otis St, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0049,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0049.jpg,
m0050,,unknown,unknown,9/22/2017,"3439 Livernois, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0050,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0050.jpg,
m0051,,DASIC FERNÁNDEZ,DASIC FERNÁNDEZ,9/22/2017,"3432 Livernois, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0051,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0051.jpg,
m0052,,unknown,unknown,7/22/2017,"2434 20th Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0052,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0052.jpg,
m0053,,OUIZI,OUIZI,12/1/2014,"8098 Agnes Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0053,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0053.jpg,
m0054,,"FFTY,LAHIZA,ZAK MEERS","FFTY,LAHIZA,ZAK MEERS",1/22/2013,"2200 17th Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0054,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0054.jpg,
m0055,,KYLE DANLEY,KYLE DANLEY,10/22/2014,"1600 Clay St, Detroit, MI 48211",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0055,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0055.jpg,
m0056,,DETROITLIVES!,DETROITLIVES!,9/22/2010,"6499 Brush Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0056,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0056.jpg,
m0057,,"MICHAEL BURDICK,JAMES NOELLERT","MICHAEL BURDICK,JAMES NOELLERT",9/22/2015,"5800 Cass Avenue, Detroit, MI",PAINTED BY JORDAN ZIELKE AND KELLY GOLDEN,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0057,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0057.jpg,
m0058,,"ELLEN RUTT,OUIZI,JONNY ALEXANDER","ELLEN RUTT,OUIZI,JONNY ALEXANDER",10/22/2016,"4500 Van Dyke, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0058,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0058.jpg,
m0059,,KOBIE SOLOMON,KOBIE SOLOMON,10/22/2010,"1600 Clay Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0059,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0059.jpg,
m0060,,MALT,MALT,1/22/2013,"6398 Russell Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0060,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0060.jpg,
m0061,DETROIT IS A BLACK WOMAN,NDUBISI OKOYE,NDUBISI OKOYE,9/22/2017,"7115 West 8 Mile Road, Detroit, MI",,,2,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0061,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0061.jpg,
m0062,,"RSK,THE YOK,SHERYO,PHYBR","RSK,THE YOK,SHERYO,PHYBR",9/22/2014,"1201 Trombly, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0062,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0062.jpg,
m0063,,OUIZI,OUIZI,9/22/2017,"1200 Piquette Ave, Detroit, MI",,,5,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0063,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0063.jpg,
m0064,,MEGGS,MEGGS,9/22/2014,"6314 Russel Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0064,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0064.jpg,
m0065,,unknown,unknown,1/22/2013,"2515 Michigan Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0065,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0065.jpg,
m0066,,DETROITLIVES!,DETROITLIVES!,6/22/2011,"2830 Dubois Street, Detroit, MI",,,,,.jpg,
m0066,,"OUIZI,WC BEVAN","OUIZI,WC BEVAN",10/22/2014,"2556 Michigan Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0066,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0066.jpg,
m0067,,RYAN HERBERHOLZ,RYAN HERBERHOLZ,8/22/2014,"7432 Brush Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0067,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0067.jpg,
m0068,,313INK,313INK,1/22/2013,"6402 Woodward, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0068,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0068.jpg,
m0069,,KATIE CRAIG,KATIE CRAIG,1/22/2013,"7332 Oakland, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0069,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0069.jpg,
m0070,,SUMMER IN THE CITY,SUMMER IN THE CITY,1/22/2013,"519 East Milwaukee, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0070,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0070.jpg,
m0071,,WC BEVAN,WC BEVAN,9/22/2017,"6331 Third Street, Detroit, MI",,,5,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0071,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0071.jpg,
m0072,,JOEY SALAMON,JOEY SALAMON,1/22/2013,"1801 Michigan Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0072,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0072.jpg,
m0073,,BIRDO,BIRDO,1/22/2013,"1800 Michigan Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0073,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0073.jpg,
m0074,,ZACH YARRINGTON,ZACH YARRINGTON,10/22/2016,"1842 Michigan Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0074,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0074.jpg,
m0075,,MICHAEL OLSZEWSKI,MICHAEL OLSZEWSKI,9/22/2017,"4757 Grand River Ave, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0075,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0075.jpg,
m0076,,MICHAEL OLSZEWSKI,MICHAEL OLSZEWSKI,11/1/2017,"2200 W Hancock St, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0076,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0076.jpg,
m0077,,MICHAEL OLSZEWSKI,MICHAEL OLSZEWSKI,11/1/2017,"4765 14th St, Detroit, MI",,,6,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0077,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0077.jpg,
m0078,,Michael Owen,Michael Owen,9/30/2014,"4732 East Grand River, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0078,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0078.jpg,
m0079,,BIRDO,BIRDO,9/22/2014,"4735 East Grand River, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0079,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0079.jpg,
m0080,,"WC BEVAN,BIRDCAP,NOSEY42","WC BEVAN,BIRDCAP,NOSEY42",9/22/2016,"4120 Grand River Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0080,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0080.jpg,
m0081,,unknown,unknown,9/22/2017,"Dequindre Cut, Detroit, MI",,,5,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0081,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0081.jpg,"-83.029118, 42.337172"
m0082,,BIRDO,BIRDO,9/22/2014,"4265 Grand River Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0082,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0082.jpg,
m0083,,MALT,MALT,9/22/2014,"2000 Calumet Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0083,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0083.jpg,
