id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0077,,MICHAEL OLSZEWSKI,11/1/2017,"4765 14th St, Detroit, MI",,,6,https://www.dropbox.com/s/kwa5lhcr4yht6sn/m0077.jpg?dl=0,
m0078,,Michael Owen,9/30/2014,"4732 East Grand River, Detroit, MI",,,,https://www.dropbox.com/s/hpvwq0wbpeh1q3e/m0078.jpg?dl=0,
m0079,,BIRDO,9/22/2014,"4735 East Grand River, Detroit, MI",,,,https://www.dropbox.com/s/94e9w5nry5ci6e6/m0079.jpg?dl=0,
m0080,,"WC BEVAN] , [ BIRDCAP] , [ ] , [ NOSEY42",9/22/2016,"4120 Grand River Avenue, Detroit, MI",,,,https://www.dropbox.com/s/smhnrokfu1hzo9c/m0080.jpg?dl=0,
m0081,,unknown,9/22/2017,"Dequindre Cut, Detroit, MI",,,5,https://www.dropbox.com/s/ihxe66mq55vos3t/m0081.jpg?dl=0,"-83.029118, 42.337172"
m0082,,BIRDO,9/22/2014,"4265 Grand River Ave, Detroit, MI",,,,https://www.dropbox.com/s/83djjc8ed2tcf8j/m0082.jpg?dl=0,
m0083,,MALT,9/22/2014,"2000 Calumet Street, Detroit, MI",,,,https://www.dropbox.com/s/48wgmsrqd8xcmqg/m0083.jpg?dl=0,
m0084,,JERMAINE CLARK,9/22/2014,"4338 Grand River Avenue, Detroit, MI",,,,https://www.dropbox.com/s/mr9sshv5ippobey/m0084.jpg?dl=0,
m0085,,JERMAINE CLARK,9/22/2014,"4337 Grand River Avenue, Detroit, MI",,,,https://www.dropbox.com/s/ii7f66lxx2blqrs/m0085.jpg?dl=0,
m0086,WORLD PEACE,RENDA WRITER,10/22/2016,"4126 Grand River Avenue, Detroit, MI",,,,https://www.dropbox.com/s/hsycpewrt3drs8w/m0086.jpg?dl=0,
m0087,,"GHOST BEARD ] , [ PATCH WHISKY",9/22/2013,"1798 West Alexandrine Street, Detroit, MI",,,,https://www.dropbox.com/s/ej47s7gv147ygws/m0087.jpg?dl=0,
m0088,MARY ELLEN RIORDAN,NICOLE MACDONALD,12/23/2015,"3437 Cochrane, Detroit, MI",,,,https://www.dropbox.com/s/qlhj448symkjiwt/m0088.jpg?dl=0,
m0089,,KATIE CRAIG,9/22/2008,"2967 East Grand Boulevard, Detroit, MI",,,,https://www.dropbox.com/s/l6lcvgz3mvdl1x5/m0089.jpg?dl=0,
